edit_sim:analytic,edit_sim:innovation,edit_sim:technology,edit_sim_sent:analytic,edit_sim_sent:innovation,edit_sim_sent:technology,company,haskey:analytic,haskey:innovation,haskey:technology,tic,groundtruth:analytics,example_sent:analytics,start_year:analytics,Notes:analytics,Actuall User
0.615384615,1,1,danas third generation rhombus tireanalytics solution helps large fleets significantly reduce tire costs,gm recognizes dana as a top supplier for performance quality and innovation,dana technology featured on 2022 north american truck and suv of the year,dana incorporated,1,1,1,DAN,,,,,
0.6,1,1,first ever toyota sit ski set to make debut at paralympic winter games,tmmwv celebrates 25 years nearly 20 million powertrains built innovation advanced manufacturing to guide future production,all new 2020 toyota yaris hatchback combines technology cargo capacity and practicality,toyota motor north america,0,1,1,HMNA,,,,,
0.6,1,1,dicks sporting goods extends team usa partnership and employment program through 2018 olympic and paralympic winter games,dicks sporting goods relaunches iconic tommy armour golf brand with renewed focus on innovation,dicks sporting goods grows dicks team sports hq by opening a west coast technology and support center,dicks sporting goods,0,1,1,DKS,,,,,
0.571428571,0.6,0.5,sustainalytics ranks crown first in metal and glass packaging sector for minimizing esg risk,crown holdings announces intention to settle its uk pension plan obligations,crown verhoogt productiecapaciteit van drinkblikjesfabriek in slowakije,crown holdings inc.,0,0,0,CCK,,,,,
0.571428571,0.454545455,0.4,azure power ranked top 10 global renewable energy company for sustainability by sustainalytics,azure power announces resignation of ranjit gupta as chief executive officer and murali subramanian as chief operating officer,azure power signs an expression of interest eoi with government of karnataka to develop 1700 mw renewable energy projects,azure power,0,0,0,AZRE,,,,,
0.571428571,0.727272727,1,finvolution group receives inaugural esg rating from sustainalytics,finvolution group receives app security and information security certifications from chinas cverc,finvolution groups subsidiary receives license as a technology and information based financial lending institution from the financial services authority of indonesia,finvolution group,0,0,1,ALYA,,,,,
0.555555556,0.6,1,the joint chiropractic becomes the official chiropractic partner of nevada athletics,the joint corp announces 5000000 scholarship donation,the joint corp hires chief technology officer,the joint corp.,0,0,1,JYNT,,,,,
0.555555556,0.6,1,renesola polycrystalline modules to power over 34 mw of panasonic projects,renesola power closes sale of 24 mw project in the uk to innova,renesola power to participate at cowen 2020 virtual industrial technology robotics  sustainability summit,renesola ltd.,0,0,1,REE,,,,,
0.555555556,0.8,1,capital one cup standings announced following ncaa division i fall athletics season,capital one named 1 company on informationweek elite 100 ranking of the countrys most innovative users of business technology,capital one named 1 company on informationweek elite 100 ranking of the countrys most innovative users of business technology,capital one financial corporation,0,0,1,COF,,,,,
0.545454545,1,1,parents outlook on potty training setting unrealistic expectations for children,kimberly clark continues commitment to innovation by joining georgia techs internet of things research center,kimberly clark applies innovative technology to address risk in water scarce communities around the world,kimberly__clark,0,1,1,KMB,,,,,
0.545454545,0.545454545,0.3,lennar announces expiration and final results of exchange offers for calatlantic notes and related consent solicitations,lennar corporation increases annual dividend to 1 00 per share,lennar acquires control of 1 602 homesites across seven raleigh communities,lennar corporation,0,0,0,LENB,,,,,
0.538461538,0.909090909,1,alleghany announces final merger consideration election results for former transatlantic stockholders,alleghany capital corporation announces acquisition of diamond technology innovations by bourn  koch,alleghany capital corporation announces acquisition of diamond technology innovations by bourn  koch,alleghany corporation,0,1,1,ALL,,,,,
0.538461538,0.545454545,1,cunard partnership with the greatest generations foundation returns to commemorate the heroes of world war ii on june 5 2022 transatlantic crossing,cunard partnership with the greatest generations foundation returns to commemorate the heroes of world war ii on june 5 2022 transatlantic crossing,cunard partners with travel technology company cool cousin,cunard,0,0,1,CUAR,,,,,
0.5,0.727272727,1,maxeon solar technologies se asocia con reenpro para llevar soluciones solares al baltico,maxeon solar technologies arbeitet mit opensolar zusammen um installateuren ein neues und innovatives auslegungs und angebotstool zur verfugung zu stellen,maxeon solar technologies announces maxeon air solar panels a disruptive technology platform,maxeon solar technologies ltd.,0,0,1,MAXN,,,,,
0.5,0.545454545,0.6,lantern pharma to host virtual kol event on the potential treatment of pancreatic cancer with drug candidate lp 184 on november 18th world pancreatic cancer day,lantern pharma to present positive preclinical data on the effectiveness of lp 184 in brain metastases at the american association of cancer research aacr annual meeting,lantern pharma expands precision oncology collaboration with the national cancer institute  accelerating path to first in human clinical trials for drug candidates lp 184  lp 284,lantern pharma,0,0,0,LTRN,,,,,
0.5,1,1,verra mobility na drodze do nabycia pagatelia europejskiego lidera w umozliwianiu interoperacyjnosci systemow pobierania oplat za przejazd w czterech krajach tym samym przyspieszajac ekspansje w europie,verra mobility appoints garrett miller as evp of government solutions to drive growth in smart cities innovation,verra mobility to present at the bank of america securities leveraged finance conference and the credit suisse technology conference,verra mobility,0,1,1,GSHTW,,,,,
0.5,0.6,1,ongoing investigation alert the schall law firm announces it is investigating claims against virgin galactic holdings inc and encourages investors with losses to contact the firm,investor action alert the schall law firm announces the filing of a class action lawsuit against innovage holding corp and encourages investors with losses in excess of 100 000 to contact the firm,deadline today the schall law firm reminds investors of class action lawsuit against jianpu technology inc and encourages investors with losses in excess of 100 000 to contact the firm,the schall law firm,0,0,1,S,,,,,
0.5,1,1,rousselot biomedical a darling ingredients brand joins european enlight project to develop a 3d living model of pancreatic tissue,darling ingredients rousselot health brand kundigt partnerschaft mit terasaki institute for biomedical innovation an,darling ingredients to participate in the 2022 goldman sachs global energy and clean technology conference,darling ingredients inc.,0,1,1,DAR,,,,,
0.5,0.8,1,supermicro beschleunigt ki workloads cloud gaming und medienbereitstellung mit neuen systemen die intels arctic sound m und intel habana labs gaudi r 2 unterstutzen,sistema universal gpu innovativo di supermicro supporta tutte le principali architetture cpu gpu e fabric,supermicros superblade twin and ultra server families powered by 3rd gen amd epyc processors with 3d v cache technology accelerate critical product design and key technical computing workloads,super micro computer inc.,0,0,1,SMCI,,,,,
0.5,0.6,1,cracker barrel old country store opens first store on west coast in tualatin oregon,cracker barrel old country store opens first california location in victorville,cracker barrel old country store inc to present at the bank of america merrill lynch consumer  retail technology conference,cracker barrel old country store inc.,0,0,1,CBRL,,,,,
0.5,0.7,0.333333333,viatris inc announces receipt of the first fda approval for generic version of symbicort inhalation aerosol breyna budesonide and formoterol fumarate dihydrate inhalation aerosol in partnership with kindeva,viatris inc announces receipt of the first fda approval for generic version of symbicort inhalation aerosol breyna budesonide and formoterol fumarate dihydrate inhalation aerosol in partnership with kindeva,viatris and biocon biologics announce launch of interchangeable semglee insulin glargine yfgn injection and insulin glargine insulin glargine yfgn injection,viatris inc.,0,0,0,VTRS,,,,,
0.5,0.545454545,0.75,moore kuehn encourages safm anat sic and xent investors to contact law firm,moore kuehn pllc encourages investors of abbvie inc or international business machines corporation to contact law firm,moore kuehn pllc encourages arlo technologies arlo investors to contact firm regarding possible claims against arlos board,moore kuehn pllc,0,0,0,,,,,,
0.5,0.7,1,future fintech adopts qro anti counterfeit code on its hedetang brand products,future fintech announces the formation of a wholly owned subsidiary in beijing to develop its blockchain incubation business,future fintech granted blockchain technology related software copyrights from the china national copyright administration,future fintech group inc.,0,0,1,FTFT,,,,,
0.5,1,1,realnetworks and amlogic expand partnership for media codecs,realnetworks announces a major innovation in social casino games a sweepstakes with 100000 cash prizes,realnetworks and cibn oriental form partnership to deploy advanced realmedia hd technology,realnetworks inc.,0,1,1,RNWK,,,,,
0.5,1,1,new dariohealth study shows increased digital therapeutics engagement leads to marked reduction in blood glucose lower high readings among type 2 diabetic seniors,diabetes and behavioral health global experts join dariohealth scientific advisory board expanding innovation leadership in digital therapeutics for chronic care,dariohealth appoints healthcare technology entrepreneur and venture capital partner yoav shaked as chairman of the board,dariohealth corp.,0,1,1,E,,,,,
0.5,0.6,1,anab stock berger montague investigates securities fraud class action claims against anaptysbio inc nasdaq anab lead plaintiff deadline is may 26 2020,ino stock berger montague investigates securities fraud class action claims against inovio pharmaceuticals inc nasdaq ino lead plaintiff deadline is may 12 2020,algn stock berger montague investigates securities fraud class action claims against align technology inc nasdaq algn lead plaintiff deadline is may 1 2020,berger montague,0,0,1,BGRH,,,,,
0.5,0.545454545,0.230769231,sonesta continues dramatic domestic growth,sonesta international hotels corporation announces sonesta world mastercard,sonesta international hotels corporation announces sonesta world mastercard,sonesta international hotels corporation,0,0,0,SNSTA,,,,,
0.5,1,0.769230769,novavax confirma analise da agencia europeia de medicamentos do registro da vacina contra a covid 19 para autorizacao de comercializacao condicional,novavax to participate in health equity and vaccine confidence panel at maryland life sciences bio innovation conference,novavax named biotechnology firm of the year by tech council of maryland,novavax inc.,0,1,1,NVAX,,,,,
0.5,0.4,0.4,black lotus labs uncovers hacktivist campaign that used a misconfigured router to spread an anti government manifesto,lumen black lotus labs issues blog detailing the results of research into the reemergence of ransom ddos attacks,theory confirmed lumen black lotus labs discovers linux executable files have been deployed as stealth windows loaders,lumen black lotus labs,0,0,0,MISCONFIGURED RU,,,,,
0.5,0.6,1,deadline reminder law offices of howard g smith reminds investors of looming deadline in the class action lawsuit against virgin galactic holdings inc spce,innv investors have opportunity to lead innovage holding corp securities fraud lawsuit,deadline reminder law offices of howard g smith reminds investors of looming deadline in the class action lawsuit against rlx technology inc rlx,law offices of howard g. smith,0,0,1, ,,,,,
0.5,0.3,0.5,trilogy announces additional results from the 2021 infill drill program at the arctic project and update on the ambler access project,trilogy announces additional results from the 2021 infill drill program at the arctic project and update on the ambler access project,trilogy announces additional results from the 2021 infill drill program at the arctic project and update on the ambler access project,trilogy metals inc.,0,0,0,AQMS,,,,,
0.5,1,1,alexandria real estate equities incs highly impactful long term partnership with the emily krzyzewski center continues to empower underserved students to build character and achieve academic and career success,alexandria real estate equities inc announces long term 334 000 rsf full building lease for the new lilly institute for genetic medicine at 15 necco street in the seaport innovation district in greater boston,alexandria real estate equities inc achieves first fitwel life science certification at 300 technology square on the alexandria technology square mega campus in its greater boston life science cluster,alexandria real estate equities inc.,0,1,1,ARE,,,,,
0.5,0.545454545,0.7,davita clinical research study indicates effectiveness of mrna covid 19 vaccines in dialysis patients,davita clinical research presents research results at the american nephrology nurses association national symposium,davita clinical research to present new findings at american society of nephrology kidney week 2021,davita clinical research,0,0,0,,,,,,
0.5,0.6,1,lyondellbasell begint met de commerciele productie van polymeren met behulp van grondstoffen die afkomstig zijn van plastic afval,lyondellbasell launches new family of fifth generation polypropylene catalysts,orpic selects lyondellbasell spheripol pp technology for 300 kta liwa plastics project in oman,lyondellbasell industries,0,0,1,LYB,,,,,
0.5,1,1,cigna ventures invests in two breakthrough companies to accelerate digital health innovation and connect customers to care anywhere anytime,cigna ventures invests in two breakthrough companies to accelerate digital health innovation and connect customers to care anywhere anytime,with bioball cigna becomes first to use microsoft hololens technology to turn health screenings into fun gameplay,cigna,0,1,1,,,,,,
0.5,1,0.4,the howard hughes corporation welcomes residents to aalii with opening of fifth mixed use development at honolulus ward village,the howard hughes corporation appoints jesse carrillo as chief innovation officer,the howard hughes corporation celebrates cultural innovation with return of multi sensory festival opus merriweather,the howard hughes corporation,0,1,0,HHC,,,,,
0.5,1,1,jinkosolars tiger pro dual glass module receives the worlds first iec ts 62804 1 12020 certification for anti pid issued by dekra,jinkosolar announces 6 mw module supply agreement with us solar value innovation leader lumos solar,jinkosolar reshapes pv technology scenarios with its new n type tiger pro 610w unveiled at snec 2020,jinkosolar holding co. ltd.,0,1,1,ADTH,,,,,
0.5,0.727272727,0.3,clariti 1 day becomes first net plastic neutral contact lens in the us,coopervision specialty eyecare division sets slate of education and information sessions for 2019 global specialty lens symposium,peer review affirms misight 1 day sustains slowing of eye growth over six years for myopia control,coopervision,0,0,0,,,,,,
0.5,1,1,benchmark electronics angleton texas facility receives as9100 quality certification,advanced manufacturing facility driving innovation in high performance electronics unveiled by benchmark and arizona government leaders,geophysical technology selects benchmark for volume production of its next generation seismic sensor technology,benchmark electronics inc.,0,1,1,BHE,,,,,
0.5,0.6,0.692307692,kfc is finally serving chicken  waffles  now you can have brunch anytime anywhere,kfc is feeding the next generation of leaders through a new partnership with big brothers big sisters of america,kfc is helping one lucky buyer escape the holiday related technological noise with internet escape pod,kfc,0,0,0,,,,,,
0.5,0.909090909,1,want to own the ocean now you can moen launches nft auction to help combat ocean plastic pollution,touchless technology spa like showers and more moen showcases innovations for a healthy happy home at kbis 2021,moen launches smart faucet with best in class motion control technology for completely touchless operation,moen,0,1,1,,,,,,
0.5,0.8,0.7,republic celebrates earth day in anaheim with major enhancements to commercial recycling capabilities,republic services ceo named to forbes 2019 americas most innovative leaders,republic services completes acquisition of us ecology,republic services inc.,0,0,0,RSG,,,,,
0.5,0.6,1,kraton collaborates with plastship to unlock pcr value enhancement for european plastic recycling,kraton spotlights next generation cariflex at irgce 2018,kraton corporation announces first commercial launch in china of imss technology on buick gl6 car model,kraton corporation,0,0,1,KRA,,,,,
0.5,0.727272727,1,kaskela law llc announces stockholder investigation of analog devices inc and encourages investors to contact the firm  adi,shareholder alert kaskela law llc announces investigation of embark technology inc nasdaq embk and encourages investors with losses in excess of 50 000 to contact the firm for additional information,shareholder alert kaskela law llc announces investigation of embark technology inc nasdaq embk and encourages investors with losses in excess of 50 000 to contact the firm for additional information,kaskela law llc,0,0,1,,,,,,
0.5,0.7,0.416666667,lannett announces fda approval of nda for branded anesthetic product cocaine hydrochloride nasal solution 4,lannett announces initiation of human clinical trial of biosimilar insulin glargine versus us lantus,lannett receives fda approval for temozolomide capsules,lannett company inc.,0,0,0,LCI,,,,,
0.5,0.727272727,0.4,treehouse foods inc completes acquisition of the aseptic cheese and pudding business from associated milk producers inc,treehouse foods amends product recall information,treehouse foods inc to present at barclays back to school consumer conference,treehouse foods inc.,0,0,0,THS,,,,,
0.5,0.538461538,0.3,det ar officiellt varldens senaste underverk ansluter sig till royal caribbean international,det ar officiellt varldens senaste underverk ansluter sig till royal caribbean international,royal caribbean anuncia la vuelta a latinoamerica para la temporada 2023 2024,royal caribbean international,0,0,0,RCL,,,,,
0.5,0.545454545,0.75,stepan announces acquisition of aromatic polyester polyol business from invista,stepan announces agreement to acquire a commercial business and sulfonation production facility in brazil,stepan completes acquisition of natsurfact business from logos technologies,stepan company,0,0,0,SCL,,,,,
0.5,0.5,1,axalta commits to new sustainability goals for 2030,axalta coating systems announces jacqueline scanlan to lead global human resources function,axalta names barry snyder chief operations and supply chain officer promotes robert roop to chief technology officer,axalta coating systems ltd.,0,0,1,AXTA,,,,,
0.5,0.4,0.4,mercury insurance is giving away anaheim ducks tickets,mercury insurance water leak detection program aims to save water and money for california homeowners during historic drought,mercury insurance extends giveback program through july,mercury insurance,0,0,0,GSHD,,,,,
0.5,0.538461538,0.4,kuke announces appointment of artistic advisor,kuke music announces to sponsor the 10th fritz kreisler international violin competition,kuke music announces inclusion of kukey lessons in chinas pre school music education curriculum,kuke music holding limited,0,0,0,KUKE,,,,,
0.5,1,1,ionis factor xi anti thrombotic medicine advances with bayer following positive clinical results,dr c frank bennett receives leslie gehry brenner prize for innovation in science,ionis enters exclusive licensing agreement with bicycle therapeutics aimed at further advancing lica technology,ionis pharmaceuticals inc.,0,1,1,IONS,,,,,
0.5,1,1,ball aerospace and spire global collaborate on arctic maritime domain awareness,ball aerospace president rob strain joins defense innovation boards space advisory committee,ball aerospace selected to integrate and test sailcraft for nasa solar propulsion technology demonstration,ball aerospace,0,1,1,LMIA,,,,,
0.5,0.7,0.6,astellas receives approval of evrenzo roxadustat in japan for the treatment of anemia of chronic kidney disease in adult patients not on dialysis,us fda grants regular approval and expands indication for padcev enfortumab vedotin ejfv for patients with locally advanced or metastatic urothelial cancer,astellas to present data from expanding oncology portfolio during the 2021 asco annual meeting,astellas pharma inc.,0,0,0,ACST,,,,,
0.5,0.4,0.4,corona becomes first global beverage brand to achieve a net zero plastic footprint globally,corona cattura il suono della spiaggia con la sua nuova web serie e il campionato per dj corona sunsets,corona devient la premiere marque mondiale de boissons a realiser une empreinte plastique nette nulle a l echelle mondiale,corona,0,0,0,,,,,,
0.5,0.6,1,anaptysbio inc class action alert wolf haldenstein adler freeman  herz llp reminds investors that a  securities  class  action  lawsuit  has  been  filed  in  the  united states district court for southern district of californ,innovage holding corp class action alert wolf haldenstein adler freeman  herz llp announces that a securities class action lawsuit has been filed in the united states district court for the district of colorado against innovage,rlx technology inc class action alert wolf haldenstein adler freeman  herz llp reminds investors that a securities class action lawsuit has been filed in the united states district court for the southern district of new york ag,wolf haldenstein adler freeman  herz llp,0,0,1,LCID,,,,,
0.5,0.615384615,1,socalgas raises giant shovel at angel stadium of anaheim to remind southern californians to contact 811 before digging,socalgas to launch series of informational workshops on solar water heating basics for single family residences,socalgas to feature biogas technology and powerful new compressed natural gas big rigs at 50th annual world agricultural expo,southern california gas co.,0,0,1,TO REMIND SOUTHEN,,,,,
0.5,1,1,synchrony and fanatics team up for the ultimate fan card,synchrony and sweetwater extend financing partnership and deepen innovation on digital payment process,synchrony expands arsenal of digital payment technology solutions for partners provides touchless shopping options for customers,synchrony,0,1,1,SYF,,,,,
0.5,0.4,0.3,youdao announces plan to dispose of its academic ast business,youdao inc announces closing of initial public offering and concurrent private placement,netease cloud classroom introduces free aws digital training courses in china,youdao inc.,0,0,0,DAO,,,,,
0.5,1,1,cp calls on kcs board to reject cns anti competitive proposal,through communication collaboration and innovation record 2018 2019 crop year momentum continues through may,technology and operations enhancements a win for cps canadian grain franchise,canadian pacific,0,1,1,CP,,,,,
0.5,0.454545455,0.3,new england journal of medicine publica resultados de 12 semanas de estudo que avalia atogepant para o tratamento preventivo de enxaqueca,venetoclax recebe do fda breakthrough designation classificacao que aponta descobertas terapeuticas inovadoras para sindrome mielodisplasica de alto risco,estudo clinico com epcoritamabe em pacientes com linfoma nao hodgkin de celula b recidivado refratario r r e publicado pelo the lancet,abbvie brasil,0,0,0,ABBV,,,,,
0.5,0.636363636,0.3,net2phones sip trunking solution is certified interoperable with panasonics communication platforms,net2phones slack integration enhances collaboration with intelligent voice and video,net2phone and tbi unveil partnership bringing cloud communications to tbis selling agents,net2phone,0,0,0,NTOP,,,,,
0.5,0.545454545,0.4,sherwin williams announces the completion of its divestiture of valspars north american industrial wood coatings business to axalta coatings systems,sherwin williams recommends rejection of mini tender offer by trc capital corporation,the sherwin williams foundation and the urban league of greater cleveland partner to foster economic inclusion for minority owned construction companies,the sherwin__williams company,0,0,0,SHW,,,,,
0.5,0.714285714,1,canadian solar delivered 2 6 gw of high efficiency anti letid perc solar modules worldwide,canadian solar achieves passinnovation certification with partner mecosun,canadian solar to attend bank of america merrill lynch 2015 taiwan technology  beyond conference,canadian solar inc.,0,1,1,CSIQ,,,,,
0.5,1,1,us department of commerce anti dumping ruling supports us manufacturers,smart countertop oven from wlabs of whirlpool corporation packs big innovation into small appliance,the new world class facility for whirlpool corporation s global technology and engineering center in pune,whirlpool corporation,0,1,1,,,,,,
0.5,1,1,global study the next five years will see dramatic increase of factor strategy usage among institutional investors,invesco expands qqq innovation suite to include two esg etf offerings,invesco expands longstanding partnership with nasdaq with two new thematic technology etfs,invesco ltd.,0,1,1,IVZ,,,,,
0.5,0.416666667,0.4,new studies show significant anti aging benefits of cordyceps,nu skin reaches 750 million meals purchased and donated  in its fight against child malnutrition,nu skin contributes to economic opportunity for women in underserved communities,nu skin enterprises,0,0,0,NUS,,,,,
0.5,0.2,0.3,pacsun launches new merch from guest artistic director aap rocky,pacsun launches pre loved pac a 360 resale platform enabled by thredups resale as a service,pacsun releases anticipated hyped drop of aap worldwide collab with vans,pacsun,0,0,0,,,,,,
0.5,1,1,att and warnermedia announce 7m commitment to combat and confront anti asian hate,att cybersecurity delivers new managed sase solution to drive innovation and transform user experiences at the edge,department of justice selects att for technology modernization,att communications,0,1,1,,,,,,
0.5,1,0.307692308,graphic packaging international expands innovation center to support strategic growth in plastic substitution,graphic packaging international launches paperboard innovation producepack for fresh produce,graphic packaging international launches paperseal innovation to increase food tray recyclability,graphic packaging international,0,1,0,GPK,,,,,
0.5,0.545454545,0.3,starwood capital group  arrow capital partners jv recapitalize properties located in sydney melbourne and brisbane with altis property partners,starwood capital group confirms submission of superior proposal to acquire monmouth real estate investment corporation,starwood real estate income trust and morningstar properties form joint venture focused on the self storage sector,starwood capital group,0,0,0,ACGL,,,,,
0.5,0.5,1,anellotech and trecora resources subsidiary south hampton resources renew site host and services agreement for process development pilot plant,trecora resources initiates operation of d train expansion hydro de sulfurization unit,trecora resources enters into multi year managed services agreement with odyssey logistics  technology,trecora resources,0,0,1,TREC,,,,,
0.5,1,0.4,w p carey inc announces 167 million of sale leaseback transactions with nord anglia,w p carey announces 41 million acquisition of innovation center in the netherlands,w p carey announces 70 million investment in clean energy food production site,w. p. carey inc.,0,1,0,,,,,,
0.5,1,1,braskem announces research partnership for sustainable plastic production using co2 capture and utilization technology,braskem completes us innovation and technology center expansion,braskem and lummus partnership the next chapter for green ethylene technology,braskem,0,1,1,,,,,,
0.5,0.4,0.2,urbint and national grid work towards preventing serious injuries or fatalities to utility workers in the field,urbint and national grid work towards preventing serious injuries or fatalities to utility workers in the field,urbint partners with wisconsin public service to protect natural gas infrastructure,urbint,0,0,0,OR FATAI,,,,,
0.5,0.5,0.4,greif inc joins the alliance to end plastic waste,greif inc pollinator commitment featured at 2012 clinton global initiative annual meeting,midwest based executives address how to create value through sustainable practices at world business council for sustainable development regional conference,greif inc.,0,0,0,GEF,,,,,
0.5,0.727272727,1,concord medical completes its twelfth annual academic conference,concord medical announces agreement to sell equity interest in beijing allcure medical information technology ltd,concord medical announces agreement to sell equity interest in beijing allcure medical information technology ltd,concord medical services holdings limited,0,0,1,AMEH,,,,,
0.461538462,0.5,0.4,global travelers most likely to want to meet travelers of their own nationalities on holiday,agodas film inspired holiday ideas reel travel locations for every movie lovers bucket list,agoda data indicates early signs of recovery for bali following indonesias early reopening,agoda,0,0,0,,,,,,
0.454545455,0.545454545,0.4,students win 1 8 million at regeneron science talent search 2022 for exceptional research on neutron starblack hole systems narrowband radar and ribosome movement in protein translation,students win 1 8 million at regeneron science talent search 2022 for exceptional research on neutron starblack hole systems narrowband radar and ribosome movement in protein translation,teen scientists and engineers win 5 million at largest global high school stem competition,regeneron pharmaceuticals inc. society for science,0,0,0,N,,,,,
0.454545455,1,1,science and athleticism meet as usana tackles obstacle course racing to become the official nutritional partner of spartan us,usana receives global recognition for products innovation and executive leadership,usanainc joins the white house office of science and technology policy initiative in support of microbiome science research,usana,0,1,1,,,,,,
0.454545455,1,1,cisco webex innovation breaks through language barriers with real time translation for more inclusive meeting experiences,cisco webex innovation breaks through language barriers with real time translation for more inclusive meeting experiences,new cisco technology can predict network issues before they happen,cisco systems inc.,0,1,1,CSCO,,,,,
0.454545455,0.6,0.3,lockheed martin aeronautics to eliminate about 1500 positions,lockheed martin f 16 is ready for the future as the worlds most advanced 4th generation fighter,lockheed martins marietta site to host same day hiring decision event,lockheed martin aeronautics,0,0,0,LMT,,,,,
0.444444444,0.909090909,1,flagship pioneering catalyzes growth with new leadership appointments,flagship pioneering closes 3 4 billion capital pool to drive continued breakthrough innovations in human health and sustainability,flagship pioneerings scientists invent a new category of genome engineering technology gene writing,flagship pioneering,0,1,1,,,,,,
0.444444444,0.909090909,1,gopro announces partnership with usc school of cinematic arts invests in next generation of filmmakers,gopro hero7 black honored for breakthrough innovations,gopro to present at the citi virtual global technology conference,gopro inc.,0,1,1,GPRO,,,,,
0.444444444,1,1,iqiyi expands its international footprint announcing its animation deer squad airing on nickelodeon in the us on january 25 2021,iqiyi deepens industrial innovation of film and tv by launching innovative online video review plug in and improves multinational collaboration,iqiyi releases 260 new titles at 2021 ijoy conference integrating content with technology,iqiyi,0,1,1,,,,,,
0.444444444,0.8,0.4,illumina enters co development partnership with somalogic,illumina svela un innovativo test completo per la profilazione genomica del tumore in europa,illumina expands access to genomics in latin america through new state of the art solution center,illumina inc.,0,0,0,ILMN,,,,,
0.444444444,0.5,0.3,bioarctic outlicenses its alpha synuclein antibody portfolio for parkinsons disease to abbvie after receiving clearance,bioarctics partner abbvie exercises its option to license the alpha synuclein antibody portfolio for parkinsons disease,bioarctic outlicenses its alpha synuclein antibody portfolio for parkinsons disease to abbvie after receiving clearance,bioarctic,0,0,0,,,,,,
0.444444444,0.636363636,0.5,the man of steels 80th anniversary culminates with a big screen double feature of the death of superman and the national cinematic debut of reign of the supermen in a special event this january 13 and 14,fathom events launches fathom affinity network fan distributing faith and inspiration content to nearly 800 churches across the country,wildly popular fatestay night heavens feel trilogy returns to us movie theaters for two special events this spring,fathom events,0,0,0,FTHM,,,,,
0.444444444,0.727272727,1,huntsman joins coalition to grow american manufacturing and jobs,huntsman clariant deal continues to move forward  focused second request for additional information received from federal trade commission,huntsman opens new asia pacific technology center in shanghai,huntsman corporation,0,0,1,HUN,,,,,
0.444444444,1,1,gates expands thermoplastic polyurethane line up with best in class parabolic pitch belts,gates continues digital innovation drive with launch of gates design power,gates advances industrial application of ethylene elastomer technology with development of high performance banded v belt,gates,0,1,1,GTES,,,,,
0.444444444,0.3,0.1,satlantis llc announces strategic investment,satlantis llc announces strategic investment,satlantis llc announces strategic investment,satlantis llc,0,0,0,SLTT,,,,,
0.444444444,0.8,1,godaddys openwestand coalition grows with adobe cisco linkedin mastercard microsoft and uber supporting small businesses during covid 19,innovative tech from godaddy makes seo available to all,godaddy inc to present at the jp morgan 50th annual global technology media and communications conference,godaddy inc.,0,0,1,GDDY,,,,,
0.444444444,1,0.75,ppl corporation companies join electric highway coalition to support ev adoption,ppl corporation joins energy impact partners global investment platform to foster innovation and accelerate clean energy transition,ppl joins epri and gti led initiative to accelerate low carbon energy technologies,ppl corporation,0,1,0,PPL,,,,,
0.444444444,0.545454545,0.2,investor notice april 29th deadline in lawsuit for investors who lost over 50 000 in cabaletta bio inc shares announced by shareholders foundation,investor notice march 8th deadline for investors who lost over 100 000 in talis biomedical corporation shares announced by shareholders foundation,investor notice june 21st deadline in lawsuit for investors who lost over 100 000 in ironnet inc shares announced by shareholders foundation,shareholders foundation inc.,0,0,0,FFWM,,,,,
0.444444444,0.7,1,rising inflation threatens consumers recovery from pandemic,rising inflation threatens consumers recovery from pandemic,lendingclub appoints balaji thiagarajan as chief technology officer,lendingclub corporation,0,0,1,LC,,,,,
0.444444444,0.8,1,upcoming deadline cabaletta bio inc investors with substantial losses have opportunity to lead class action lawsuit  caba,investor deadline innovative industrial properties inc investors with substantial losses have opportunity to lead class action lawsuit   iipr iipr pa,embk alert investors in embark technology inc fka northern genesis acquisition corp ii with substantial losses have opportunity to lead class action lawsuit  embkw ngabu ngab ngab ws,robbins geller rudman  dowd llp,0,0,1,HAV ,,,,,
0.444444444,0.8,1,ginkgo bioworks announces participation in jefferies virtual synthetic biology week,ginkgo bioworks and first serv announce plans to develop and implement innovative global biosecurity capabilities in qatar,elanco and ginkgo bioworks launch biomedit a new animal health company leveraging microbiome technology,ginkgo bioworks,0,0,1,DNA,,,,,
0.444444444,0.727272727,0.4,cohen  steers launches real assets fund focused on long term total return and inflation protection,cohen  steers announces 2011 year end distribution information for open end funds,cohen  steers mlp income and energy opportunity fund inc declares distributions for april and may 2021,cohen  steers,0,0,0,CNS,,,,,
0.444444444,0.8,1,tenneco explores synthetic fuels for climate neutral mobility,tennecos innovative passive damping technology to debut on premium sedan,tennecos innovative passive damping technology to debut on premium sedan,tenneco inc.,0,0,1,TEN,,,,,
0.444444444,0.6,1,aes ohio joins national electric highway coalition,aes completes purchase of wind generation portfolio from carlyle in the state of new york,aes executive leadership team members to present at citis 2022 global energy utilities and climate technology conference,aes corp.,0,0,1,AES,,,,,
0.444444444,0.545454545,0.5,synchrony launches latinx executive alliance a coalition dedicated to advancing latinx talent in corporate america,synchrony recommends shareholders reject mini tender offer by trc capital corporation,synchrony launches first of its kind program in stamford to prepare underserved youth for the digital economy,synchrony financial,0,0,0,SYF,,,,,
