Company,related_paragraphs,Ticker,title
Papa Gino's," IBM (NYSE: IBM) today announced that Boston-area based pizza chain Papa Gino's has turned to IBM business analytics software to help better meet customer expectations for on-time, anywhere pizza deliveries in 30 minutes or less -- with food ordering capabilities now available through a new iPhone application.        Analytics has given Papa Gino's increased visibility into the performance of its online customer loyalty campaign, which has recently boasted a 50 percent increase in the total of an average order.

The company now has the ability to compare this and other performance data from all of its marketing and promotions activities with pizza sales and frequency of transactions -- and then measure them against the company's performance goals. As a result, Papa Gino's can tailor its mobile commerce campaign more effectively to help increase both the average ticket price as well as ordering frequency.
",PZZA,ibm-business-analytics-helps-papa-ginos-grab-a-bigger-slice-of-the-pie
Marine-Products-Corporation,"Bell led and advised client service teams supporting implementation of new accounting standards, internal controls implementation and testing, internal audit and enterprise risk management programs and initiatives, securities offerings, merger and acquisition transactions, and implementing enterprise transformational initiatives such as process automation and advanced analytics. ",MPX,marine-products-corporation-board-of-directors-appoints-new-director-susan-bell
"RPC, Inc","Bell led and advised client service teams supporting implementation of new accounting standards, internal controls implementation and testing, internal audit and enterprise risk management programs and initiatives, securities offerings, merger and acquisition transactions, and implementing enterprise transformational initiatives such as process automation and advanced analytics. ",RES,rpc-inc-board-of-directors-appoints-new-director-susan-bell
Hain celestial, Steve has an extensive background in working with consumer products companies on a global basis and brings a demonstrated ability to implement business analytics for high-performance strategic growth. ,HAIN,hain-celestial-announces-the-appointment-of-stephen-j-smith-as-executive-vice-president-and-chief-financial-officer-with-the-planned-retirement-of-ira-j-lamel
Ryerson,"Ryerson continues strengthening its management team in the pursuit of enhanced speed, scale and value-add throughout our organization.  In his new role, Fang will be responsible for optimizing operations and supply chain performance through adoption of best practices in technology and analytics, and he will partner with the region presidents to optimize performance. ",RYI,ryerson-promotes-leong-fang-to-executive-vice-president-of-operations--ryerson-holding-corporation
Procter & Gamble,"Google Cloud today announced that The Procter & Gamble Company (NYSE:PG) has selected its data analytics and AI technology to enable more personalized experiences for consumers. Through this new collaboration, P&G will now be able to leverage consumer and media data to innovate product experiences and enrich the shopping journey for existing and new consumers.   ...   By combining previously siloed data and using advanced analytics, Google Cloud will help create a 360-degree view of P&G's business across all of its channels, ultimately helping the CPG leader create seamless experiences for consumers. Key components to the expanded partnership include: Optimizing data in a trusted environment: As P&G continues to expand its technology capabilities, a data-centric partnership was critical to enable P&G to be more automated, agile, and fasterâ€”while also ensuring the data privacy of its customers.  Enriching the consumer experience: With Google Cloud technology, including BigQuery and TensorFlow, P&G will be able to create a richer product experience to consumers by incorporating consumer insights into future product development.  Collaborating on a stronger technology offering: Google Cloud is partnering with P&G on a multi-cloud approach to support its needs across its technology stack.  ""Connected devices offer new opportunities to provide actionable insights directly to consumers around their everyday habits,"" said Rob Enslin, President, Google Cloud. ""We're thrilled to work with P&G to help them use the cloud and our deep portfolio of machine learning and analytics solutions to create more personalized experiences."" ",PG,google-cloud-helps-power-more-personalized-experience-for-procter--gamble-consumers
Flotek,"Koid currently serves on the board of irth Solutions, the leading provider of cloud-based solutions that help energy and utilities companies manage and reduce risk, decreases costs, increase revenue opportunities and ensure regulatory compliance.     said Gibson. ""I have known Koid for more than 20 years and have the highest regard for his leadership and work ethic, as well as his track-record of taking a 'no-excuses', results-driven approach to revenue growth. I value his strong integrity and his objectivity, with his proven ability to excel through both strong and challenging markets",FLK,flotek-welcomes-new-president-of-global-business
Cisco Systems ,"creating a centralized data analytics solution for its sales representatives. By integrating the in-database machine learning and predictive analytics model development capabilities of SAP HANA with its own sales pipeline management tools, Cisco transformed its global sales process. The combined solution uses predictive analytics models for in-depth account analysis to identify the most successful sales techniques, promising sales opportunities and appropriate product recommendations for customers.

""We are using the power of SAP HANA to go well beyond basic sales account diagnostics or history,"" said Ted Tsortos, Cisco's director of Worldwide Sales Strategy and Planning. ""Our salespeople can now use vast amounts of real-time data to optimize their sales pipelines at the start of each sales cycle, steering them away from relying on 'gut feel' about which of their hundreds of opportunities are most viable. We are using the power of SAP HANA to dynamically evolve our sales strategy, better manage our most strategic global accounts and drive execution to meet or exceed our aggressive growth targets.""",CSCO,cisco-siemens-and-vmware-running-live-digital-businesses-on-sap-hana-platform-as-customer-growth-accelerates
Vmware,"As a global leader in cloud infrastructure and business mobility, VMware provides reliable, high-performance cloud infrastructure solutions that empower organizations to improve business agility by modernizing data centers. VMware uses SAP HANA to simplify IT infrastructure and to centralize seven legacy data warehouses and 15 terabytes of data into one 6 terabyte database. With SAP HANA smart data integration and SAP HANA smart data access for data integration and query federation, VMware business users can more easily implement highly scalable, virtual data solutions that promote the spirit of innovation. By slashing data provisioning time from one day to just 15 minutes, VMware has dramatically improved customer service.

""VMware cloud solutions are significant to many of our customers, of all sizes,"" said Lalit Sudan, VMware's director of the Enterprise Architecture Group. ""By combining our solutions with the in-memory computing power of SAP HANA, we can provision thousands of new IT environments for our customers, per year, on the fly. With transaction and analytical processing on one platform, we can centrally monitor and manage the health of our infrastructure in real time, which slashes time to insight for decision-makers and enables our customers to thrive.""",VMW,cisco-siemens-and-vmware-running-live-digital-businesses-on-sap-hana-platform-as-customer-growth-accelerates
Neiman Marcus,"Additional new clients, including RICOH Company, Ltd., Neiman Marcus, University of Texas El Paso, Hindustan Motors, Bonduelle and Apave have chosen IBM's SmartCloud to help drive social business adoption across the enterprise. Using IBM social networking tools in the cloud, these organizations are seamlessly collaborating and sharing information and ideas, resulting in increased efficiency and productivity in a security-rich and cost-effective environment.",MCS,ibm-expands-global-cloud-capabilities-with-advanced-smartcloud-services-and-new-customer-adoption
Hershey,"Hershey's LLC, North America's largest chocolate manufacturer, recently used IIP on AWS to analyze retail store data. The company wanted to gain valuable, revenue-generating insight faster than a traditional analytics implementation could deliver.

Hershey needed to establish its Hadoop landscape and extend its analytics and big data capabilities quickly. Partnering with the client, we had the landscape up and the data lake seeded for their analysts in less than a week. Using the Infosys Information Platform on AWS accelerated the deployment by weeks
",HSY,the-hershey-company-partners-with-infosys-to-build-predictive-analytics-capability-using-open-source-information-platform-on-amazon-web-services
Lockheed Martin,"To meet these goals, the enterprise is conducting supply chain competitions and building supply capacity, synchronizing spare buys, improving parts reliability and maintainability, implementing advanced analytics tools, accelerating modifications of earlier aircraft, and supporting the stand-up of government-led regional warehouses and repair depots. ",LMT,pentagon-and-lockheed-martin-sign-2020-f-35-sustainment-contract
Lockheed Martin,"The UCA funds industry sustainment experts supporting operations worldwide, individual bases, depot maintenance, pilot and maintainer training, and sustainment engineering across the globe. It also covers fleet-wide data analytics and supply chain management for part repair and replenishment to enhance overall supply availability. To further improve readiness and cost stability, the enterprise is conducting supply chain competitions and building supply capacity, synchronizing spare buys, improving parts reliability and maintainability, implementing advanced analytics tools, accelerating modifications of earlier aircraft, and supporting the stand-up of government-led regional warehouses and repair depots.",LMT,pentagon-and-lockheed-martin-agree-to-1-28b-f-35-sustainment-contract
Honeywell,"Honeywell (NYSE: HON) today announced that it has signed a definitive agreement to acquire the Elster Division of Melrose Industries plc, a leading provider of thermal gas solutions for commercial, industrial, and residential heating systems and gas, water, and electricity meters, including smart meters and software and data analytics solutions, for approximately $5.1 billion.   Utility metering in particular is rapidly evolving as new 'smart' technologies and software and data analytics capabilities are becoming adopted around the world and we expect strong growth from this segment globally.  Elster's differentiated technologies, extensive industry expertise, and relationship with utility customers globally – combined with their strong positions in the highly regulated heating, controls, and metering segments – are a great fit for Honeywell's portfolio,"" concluded Cote. ""This acquisition will allow us to improve customer value with technologies and lifecycle management solutions for industrial end users served by Honeywell's Environmental Combustion and Controls and Process Solutions businesses,"" Utility metering in particular is rapidly evolving as new 'smart' technologies and software and data analytics capabilities are becoming adopted around the world and we expect strong growth from this segment globally.  ",HON,honeywell-to-acquire-elster-a-global-leader-in-gas-heating-controls-metering-and-advanced-technologies
Telefonica S.A.,"The new SOC platform, based on Ericsson's solution, will be deployed to gain visibility of Telefónica Movistar México's service operations, quality, and end-customer experience. This will give the service provider actionable insights in real-time to help improve service quality and increase customer satisfaction.

Hector Gimenez, Chief Technical Officer, Telefónica Movistar México, says: ""With Ericsson Expert Analytics we can now get a complete end-to-end view of our services, along with real-time insights, that allow us to accelerate decisions and actions that enhance the experience for our subscribers. We will leverage the data captured through Ericsson's solution to relentlessly pursue operational efficiencies in both technical and non-technical areas and thus increase our focus on our customers.""",TEF,telefonica-movistar-mexico-selects-ericsson-expert-analytics-to-enhance-customer-experience
United Technologies Corp.,"By implementing predictive analytics, Pratt & Whitney can customize workscopes, provide early warning detection, and improve visibility into the overall health of an operator's engine fleet. ",UTX,pratt--whitney-applies-big-data-to-predict-engine-maintenance-frequency-and-planning
vodafone,"Google Cloud today announced that Vodafone, one of the world's leading telecom and technology services companies, has selected Google Cloud to host its strategic cloud platform for data analytics, business intelligence, and machine learning, called Neuron.  Vodafone's Neuron big-data analytics platform allows the company to utilize real-time data analytics to gain unique insights into its business. Those insights will help the operator to further enhance its customer services, network planning and optimization, and to provide personalized offers to customers.",VOD,vodafone-chooses-google-cloud-as-strategic-cloud-platform-for-infrastructure-data-analytics-and-machine-learning
bed-bath--beyond,"These technology investments will enable the use of analytics and automation to support improvements in merchandising and inventory management, product life cycle management, retail space planning and optimization, the launch of an array of exciting Owned Brands, and real-time tracking of merchandise fulfilment within the supply chain. ",BBBY,bed-bath--beyond-selects-oracle-to-modernize-enterprise-resource-planning-and-accelerate-technology-transformation
ProPetro Holding Corp,"Intelie Live has enabled operational efficiencies at ProPetro by reducing costly downtime, identifying anomalies, and optimizing predictive maintenance for capital equipment. With the ability to analyze the overall performance of heavy machinery in real-time, Intelie Live plays an integral role in unlocking efficiencies at the wellhead.",PUMP,rignets-intelie-to-continue-to-optimize-fracturing-operations-at-propetro-under-new-contract-extension
Omnicom,"Omni identifies and defines personalized consumer experiences at scale, enabling more relevant and effective creative development, media planning/buying/optimization and analytics capabilities for Omnicom clients.  This new Comscore integration gives us unprecedented visibility into the consumer journey â€“ andÂ that translates to a singular degree ofÂ precision in targeting audiences and creating end-to-end consumer experiences, Â says Slavi Samardzija, CEO of Annalect, the Omnicom data and analytics division that developed and oversees Omni. ",OMC,comscore-and-omnicom-announce-expanded-data-agreement
Realogy Holdings Corp,"With key leadership in place and a clear strategy, Cartus is poised to drive the business forward by building expertise in areas such as product innovation, digital transformation, and predictive analytics. MovePro Visionâ„  | Cartus | Global Relocation The reinvigorated client interface in CartusOnline offers users a fresh, streamlined experience with advanced analytics at their fingertips. This latest reinvigorated version incorporates dynamic data analytics while offering a modern look and feel for an enhanced user experience. MovePro Vision available for clients with significant supporting dataCartus recently unveiled theirÂ next predictive analytics innovation for global relocation, MovePro VisionSM. Look for the fresh, modern look with easy navigation and the ability for clients with statistically significant moves to leverage predictive analytics for better decision making #movepro #dynamic QuotesDavid Pascoe, Senior VP EMEA & APAC:  Whether you're managing dozens of moves in a single country or thousands of assignments across multiple continents, relocation is a complex machine. ",RLGY,cartus-accelerates-into-next-phase-of-digital-transformation-with-reinvigorated-client-experience
Xiaobai Maimai,"Leveraging its cooperation with mainstream e-commerce platforms and services marketplaces, and its data analytics algorithm and operating system, theÂ Company continues to identify and introduce cost-efficient products and attract users to its platform and generate higher user satisfaction to realize the platform's fast growth. ",HX,xiaobai-maimai-announces-the-closing-of-p2p-disposition-agreement
Ritchie bros,"and Rouse will enhance the data analytics and service offerings available to its customers. today, we are more than auctions.  Beyond data and analytics, Rouse Services also offers highly rated equipment sales support and fleet appraisals. ",RBA,ritchie-bros-and-rouse-team-to-enhance-equipment-data-and-analytics-offerings-for-customers
Pfizer,"The partnership will introduce avenues to expand Pfizer's cloud platforms and capabilities, a key component of Pfizer's integrated digital cloud and advanced analytics strategy. ",PFE,seven-bridges-selected-by-pfizer-to-support-data-management-solution-for-single-cell-rna-sequencing-data
Interpublic Group,"MRM's core pillars include strategy & consulting, creativity & connections, technology & invention and data science, engineering & analytics. From our view, we've been consistently strengthening and expanding our capabilities across the boardâ€”in strategy, creativity, consulting, data and analytics, e-Commerce and technology â€“ along with providing the staff development and diversity programs required to support these competencies. Leaders help their clients develop digital marketing platforms designed for systemic growth and scale; they do so by harnessing their own significant expertise implementing digital marketing programs driven by data and analytics.  You can access a complimentary copy of the full report here: https://www.gartner.com/doc/reprints?id=1-1YPMN987&ct=200402&st=sb Source: Gartner, Magic Quadrant for Global Marketing Agencies, Jay Wilson, Ewan McIntyre, Laurel Erickson, 30 March 2020. ",IPG,mrm-named-a-magic-quadrant-leader-by-gartner-for-fourth-straight-year
Ribbon Communications Inc.,"""Ribbon's Identity Hub leverages our advanced analytics capabilities to determine both a caller's intent and the context of a call,"" said Tony Scarfo, EVP and General Manager, Cloud and Edge Business Unit for Ribbon. ""This allows us to deliver real-time insights, on a per-call basis and gives our service provider customers the ability to quickly make call routing decisions to help their customers restore the trust that the phone calls they received are legitimate. We believe this provides us with a distinct competitive advantage by delivering valuable network insights to our customers.""",RBBN,ribbon-introduces-new-managed-services-for-stirshaken-and-reputation-scoring-to-mitigate-robocalls-and-fraud-attacks
digimarc,"He is ushering in a new wave of consumer centricity, leveraging the power of data, analytics, and artificial intelligence (AI), and applying his expertise in new digital platforms, ecommerce, direct to consumer (D2C) business models and digitization of the supply chains. ",,digimarc-welcomes-digital-transformation-and-supply-chain-leader-sandeep-dadlani-to-its-board-of-directors
Envestnet,"For enterprises, the upgrade provides enhanced analytics, suitability, and compliance tools for greater efficiency and more transparent oversight across all annuity productsâ€”all within a unified platform. Active Annuity Management: Advisors can access daily annuity reporting and a data-driven annuity analytics engineâ€”and also implement in-force policy transactions. ",,envestnet-expands-variable-annuity-program-on-envestnet-insurance-exchange
GSX,"Big data analytics permeates each aspect of the Company's business and facilitates the application of the latest technology to improve teaching delivery, student learning experience, and operational efficiency. ",,gsx-techedu-inc-announces-unaudited-financial-results-for-the-third-quarter-of-2019
ALJJ,"(Nasdaq: ALJJ) ( ALJ ), announced today it has entered into an asset purchase agreement (the  Agreement ) to acquire the BPO and contact center operations of Vertex Business Services LLC ( Vertex ), a direct customer care provider of contact centers and back-office processes, including billing, collections and business analytics, and installing and supporting cloud-based customer care and billing technologies exclusively for the utilities industry. Through a wide range of innovative services and solutions â€” from the VertexOne Cloud CIS platform to consulting and analytics to BPO and customer experience outsourcing â€” Vertex helps utilities more efficiently deliver a compelling customer experience. ",ALJJ,alj-regional-holdings-inc-announces-faneuils-acquisition-of-bpo-and-contact-center-operations-from-vertex-business-services-llc
Lithia Motors Inc.,"SAN FRANCISCO, March 27, 2019 /PRNewswire/ -- Shift and Lithia Motors Inc. (NYSE:LAD) announced today that they will continue their ongoing partnership by launching a data-sharing collaboration that will improve decision-making capabilities for both companies. The data-sharing process will consist of pooling Lithia's transactional data and Shift's data analytics to better anticipate market demand, set pricing and manage inventory. Shift's proprietary pricing algorithms gather tens of thousands of data points and then use machine learning to provide fast and accurate quotes that improve over time. While car list prices are publicly available actual transaction prices are difficult to obtain.",,shift-and-lithia-motors-partnering-on-data
Quad/Graphics,"Now that we have formalized the relationship, we look forward to continuously evolving our products and services toward that future.  The partnership brings together a company that's an expert at optimizing spend offline with a company that's doing the same online, using robust analytics to deliver highly relevant, consistent messages at scale and across print and digital channels. About Rise InteractiveRise Interactive is a digital marketing agency specializing in media, analytics and customer experience. ",,rise-interactive-and-quadgraphics-bluesoho-enter-into-strategic-partnership
lendingtree,"The Company's operating model is highly sensitive to the amount and efficiency of variable marketing expenditures, and the Company's proprietary systems are able to make rapidly changing decisions concerning the deployment of variable marketing expenditures (primarily but not exclusively online and mobile advertising placement) based on proprietary and sophisticated analytics. ",,lendingtree-introduces-2020-guidance-ahead-of-investor-day
Signet Jewelers,"He leads Truist's digital innovation and transformation, overseeing digital banking and commerce, delivering the company's largest-ever new branding launch, and responsible for omni-channel client experience strategy, client analytics and client journey execution. ",,signet-jewelers-announces-two-new-board-appointments
MSC Industrial Supply Co.,"MSC's continual investment in IT solutions leverages custom-developed applications, best-of-breed commercial software and the latest technology like cloud computing, artificial intelligence and big data analytics and provides challenging and rewarding career opportunities for IT team members. About Insider ProInsider Pro provides its subscribers with access to in-depth journalism, exclusive research, enterprise product reviews, hands-on advice, editor-curated special reports and feature articles on topics such as AI, machine learning, cloud platforms, analytics, network security, cyber threats, IoT, tech careers and much more. ",,idg-insider-pro-and-computerworld-name-msc-industrial-supply-co-to-list-of-100-best-places-to-work-in-it-for-fourth-consecutive-year
"Essex Bank,",They will help us continue our mission of maintaining strong credit quality through robust credit analytics and reporting and add a new perspective to all our processes. ,,essex-bank-announces-new-credit-officers
Pembina Pipeline,"Pembina expects to further leverage digital technology and predictive analytics to optimize system capacity, increase asset utilization and performance, optimize power requirements, improve margins and create more efficient workflows. ",,pembina-pipeline-corporation-announces-2021-guidance-and-provides-business-update
Robert Half ,"Created in response to the rapidly changing business environment, the app utilizes advanced analytics, machine learning and data visualization to help business leaders identify control failures in real-time, pinpoint the root cause of the failure and make data-driven decisions to maximize not just process effectiveness but also efficiency. Control owners are automatically notified whenever a transaction does not follow a desired path, enabling immediate corrective action to be taken.  Designed to apply to a broad range of industries and use cases, the app uses the power of process mining, combined with machine learning capabilities through the Celonis Execution Management System, to analyze not only the activities performed, but the sequence in which they are performed, plus throughput times and a view of process conformance, to create analyses that traditional data analytics tools cannot perform. Protiviti and its independent and locally owned Member Firms provide clients with consulting and managed solutions in finance, technology, operations, data, analytics, governance, risk and internal audit through its network of more than 85 offices in over 25 countries. The Celonis EMS offerings help companies manage every facet of execution management from analytics to strategy and planning, management, actions and automation. ",RHI ,protiviti-teams-with-celonis-to-deliver-controls-excellence-process-mining-app
"Energizer Holdings, Inc.","The actions we have taken include enhancing our manufacturing network, reorganization of our global product supply structure, and acceleration of our investment in enterprise analytics to drive better, and more timely, decision-making. ",,energizer-holdings-inc-announces-fiscal-2020-fourth-quarter-and-full-year-results-financial-outlook-for-fiscal-2021-and-new-share-repurchase-authorization
Flotek Industries," I'm incredibly excited to welcome Koid to Flotek to help build our next chapter of growth as we seek to accelerate adoption of our data and analytics platform, through our recent acquisition of JP3.  This is an exciting time for Flotek as it expands its business into data and analytics with the recent acquisition of JP3.  I have known Koid for more than 20 years and have the highest regard for his leadership and work ethic, as well as his track-record of taking a 'no-excuses', results-driven approach to revenue growth. I value his strong integrity and his objectivity, with his proven ability to excel through both strong and challenging markets. In every organization he has served, he has been a transformative leader, who has accelerated growth by building and implementing business strategies and teams that deliver significant impacts to customers."" ",,flotek-welcomes-new-president-of-global-business
PSCU," Adopting FICO CCS will enable PSCU's credit unions to not only exceed member expectations in the present, but also provide them with a foundation to compete with larger FIs well into the future.  FICOÂ CCS enables businesses to deliver email, voice, text and mobile app notifications that are smart, scalable and include a human touch due to the company's expertise in combining automation with analytics. Committed to service excellence and focused on innovation, PSCU's payment processing, risk management, data and analytics, loyalty programs, digital banking, marketing, strategic consulting and mobile platforms help deliver possibilities and seamless member experiences. Founded in 1956 and based in Silicon Valley, the company is a pioneer in the use of predictive analytics and data science to improve operational decisions. ",,pscu-to-leverage-fico-customer-communications-services-to-build-leading-fraud-alert-solution-for-credit-unions
Genuine Parts Company,"Mr. Briggs has significant experience in strategic business development and analytics and will work with the Transformation Office to develop, prioritize and lead transformation initiatives to accelerate profitable growth and operational productivity. ",,genuine-parts-company-announces-officer-changes
Nabors Industries Ltd,"The recent launch of our RigCloudÂ® digital platform, for streaming analytics and improving rig and operational performance, is a key element of our digitalization strategy. ",,nabors-announces-preliminary-second-quarter-2020-results
ECHO,"The company also expanded its technology focus, rolling out mobile applications and AI-driven analytics innovations to drive improvements in cost, efficiency, reliability, and service to benefit both shippers and carriers. ",,echo-chairman--ceo-doug-waggoner-named-to-2020-pros-to-know-list-by-supply--demand-chain-executive
KAR Auction Services,"These include STRATIM's digital fleet management platform, TradeRev's real-time digital auction marketplace and the data analytics engine at DRIVIN that powers KAR Global's pricing insights, vehicle recommendations and portfolio management solutions. ",,kar-auction-services-rebrands-as-kar-global
Waddell,"Riskalyze's platform of client engagement tools and analytics technology helps Waddell & Reed advisors enhance their service and align risk metrics with specific client needs and risk tolerances. Advisors, broker-dealers, RIAs and asset managers use the Riskalyze platform to create alignment between clients and portfolios, leverage sophisticated analytics to increase the quality of their advice, automate trading and client account management, and access world-class models and research in the Riskalyze Partner Store â€” all with the mission of empowering the world to invest fearlessly. ",,waddell--reed-selects-riskalyze-to-provide-risk-alignment-for-advisors
United States Steel ,"The platform encompasses a Buyer Portal, Seller Portal, Accounts Receivable Management Dashboard, and in-depth analytics, reporting, and customer credit monitoring. ",,lsq-experiences-explosive-platform-growth-in-2020
Royal Philips,"""We embarked on our finance transformation journey in 2018 with an aspiration to save and automate one million hours of manual work. We have now achieved this goal with the help of Infosys BPM in enabling digital transformation. This is among the largest and most complex automation programs undertaken, and the collaborative efforts between the Philips and Infosys BPM teams was key for the success of the program. Infosys BPM defined and implemented the automation program, with formal design principles to standardize and automate the selected use cases. The AssistEdge RPA platform (EdgeVerve) from Infosys was leveraged to enable digital workers deployed globally with bots concurrently managing finance processes, including complex record-to-report month-end reconciliations"" - Abhijit Bhattacharya, Chief Financial Officer, Member of the Executive Committee, Royal Philips, a global leader in health technology.",,transformational-approach-to-client-partnerships-drive-record-large-deals-of-7-13bn-in-q3-
Equinix ,"Equinix - As the world's digital infrastructure company, Equinix operates more than 200 data centers serving over 10,000 customers. The company plans to implement Oracle Fusion Cloud ERP, EPM, and CX to replace Oracle E-Business Suite applications. Equinix expects to simplify and automate critical finance and go-to-market processes, eliminating manual data entry and providing new functionality for their finance teams.",,oracle-announces-fiscal-2021-second-quarter-financial-results
First Solar,"First Solar - Solar electricity is essential to the world's energy mix, and First Solar, the leading American company among the world's largest solar manufacturers, is helping drive the transition to a sustainable energy future. As part of its efforts to streamline and transform internal systems, the company is replacing its multiple, disconnected platforms with Oracle Fusion Cloud ERP, EPM, SCM, HCM, and CX.",,oracle-announces-fiscal-2021-second-quarter-financial-results
T-Mobile,"T-Mobile – As they quickly expand their subscriber base and 5G network coverage, T-Mobile continues to make customer experience their top priority. They're investing across all customer touchpoints, including their roughly 10,000 retail locations in North America. T-Mobile has chosen Oracle Retail cloud applications for planning, distribution, and optimization to help them improve customer satisfaction and their Net Promoter Score.  They also expect the system to help them add more subscribers by, for example, using the platform's analytics and embedded artificial intelligence to optimize in-store product placement during new device launches.",,oracle-announces-fiscal-2021-second-quarter-financial-results
Altria Group Inc,"A Fortune 200 company, Altria Group has a leading portfolio of tobacco products for US tobacco consumers 21 years and older. The company is moving to Oracle Fusion Cloud applications as they transition away from their on-premises financial planning systems.",,Customer highlights from Q3 FY21 earnings
Brightcove,"A leading online video-hosting platform and online video-player solution, Brightcove helps global organizations across industries leverage video to connect with their audiences and propel their businesses. Brightcove chose Oracle Fusion Cloud ERP and EPM to replace an Oracle E-Business Suite instance, which will allow them to eliminate many manual processes in financial planning and consolidation.",,Customer highlights from Q3 FY21 earnings
Crawford & Company,"For 80 years, Crawford & Company has put real effort behind talent development, starting with their first training classes in insurance claims management in 1946. Now they have more than 700 offices in 70 countries. But the company felt they could improve talent management, reduce turnover, centralize global payroll, and generally increase employee satisfaction and productivity by consolidating disparate back-office systems. They chose Oracle Fusion Cloud EPM and HCM to provide a single source of truth to improve financial planning and forecast accuracy and better manage a global operation with 6,000-plus cost centers.",,Customer highlights from Q3 FY21 earnings
Rent-A-Center,"A leader in the rent-to-own industry, Rent-A-Center offers name-brand furniture, appliances, consumer electronics, and computers through more than 2,400 corporate-owned and franchised stores in the US and Mexico. The company also offers the Acima platform, providing lease-to-own solutions to nearly 19,000 retail partners in US stores and online. In their back office, Rent-A-Center for years relied on a highly customized on-premises legacy financial system. Company leaders now will use Oracle Fusion Cloud ERP and EPM to automate time-consuming and routine tasks, modernize their financial operations, and build leaner business processes.",,Customer highlights from Q3 FY21 earnings
OUTFRONT Media,"By increasing their use of data and predictive analytics, OUTFRONT Media expects to deliver more value from their network of billboard, transit, and mobile advertising assets. The company is expanding their use of Oracle Data Warehouse, Oracle Analytics Cloud, and Oracle Cloud Infrastructure so they can apply machine learning and artificial intelligence to more of their business operations.",,Customer highlights from Q2 FY21 earnings
Aegon,"A financial services provider specializing in pensions, investments, and insurance, Aegon was looking for a partner to help them transform their business and reduce their IT costs. They chose Oracle Fusion Cloud ERP because of the suite’s frequent innovation cycle, which provides updates via the cloud multiple times a year.",,Customer highlights from Q2 FY21 earnings
"Astec Industries, Inc.","Astec Industries is a manufacturer of specialized equipment for asphalt road building, aggregate processing, and concrete production. Multiple acquisitions resulted in Astec running 11 different ERP systems. The company is turning to Oracle Fusion Cloud ERP, EPM, SCM, and HCM to create a single data source across its operations.",,Customer highlights from Q2 FY21 earnings
Crane ,"Airlines and aircraft manufacturers turn to Crane Aerospace & Electronics as a single source for sensing, power, braking, electronics, and more. To support multiple locations worldwide and keep up with the demands of the aerospace and defense industries, the company is moving select functionality to Oracle Fusion for United States Government Cloud Service. Crane is deploying Oracle Fusion Cloud SCM, CX, and EPM and integrating them with Oracle E-Business Suite in a hybrid environment. These new cloud solutions will make a powerful impact on the company’s system capabilities and position them for future Oracle Cloud advancements.",,Customer highlights from Q2 FY21 earnings
McDonald’s,"McDonald’s, one of the world’s most recognizable brands, has decided to migrate their North American financial systems to Oracle Cloud Infrastructure.",,Customer highlights from Q1 FY21 earnings
Polycab India,"Polycab, one of the world’s largest producers of electric cables and wires, recently moved their disaster recovery environment for E-Business Suite to Oracle Cloud Infrastructure. Now, they’re seeing significant cost savings and can scale their disaster recovery resources on demand.",,Customer highlights from Q1 FY21 earnings
Albertsons Companies Inc,"Albertsons, one of the largest grocers in North America, has a cloud-first strategy to migrate their entire IT infrastructure to the cloud. Albertsons will be rapidly expanding their modernization efforts for HR with Oracle Cloud HCM",,Customer highlights from Q1 FY21 earnings
ArcelorMittal ,"ArcelorMittal, the world’s leading steel and mining company, chose Oracle Transportation Management to simplify their logistics operations in Europe, helping them achieve savings in a highly competitive global steel market.",,Customer highlights from Q1 FY21 earnings
Iron Mountain,"Iron Mountain, a global information management services company, has embarked on a business transformation designed to simplify operations and leverage technology to modernize its processes while enhancing the customer experience. Aligned with their enterprise technology strategy, Iron Mountain selected Oracle’s Cloud ERP and Procurement to achieve these goals and bring their global business together on a single cloud platform.",,Customer highlights from Q1 FY21 earnings
Jacobs,"Jacobs is a global technology and infrastructure solutions provider to the government and private sectors. After some strategic acquisitions and a divestiture, Jacobs sought to consolidate several disparate ERP systems into a single, integrated solution to improve operational efficiency and reporting. It was a competitive situation, but Oracle’s ability to deliver a fully integrated cloud ERP and EPM solution was vital to winning Jacobs’ trust. Oracle Cloud provided Jacobs with improved access to real-time information and accelerated its focus on innovation. In addition, Jacobs provides highly classified solutions to the US government, and Oracle was the only solution under consideration that was FedRAMP-compliant.",,Customer highlights from Q1 FY21 earnings
KBR,"KBR is a provider of engineering, scientific, and technical services to the US Department of Defense, NASA, and customers in the aerospace and defense industry. The majority of KBR’s customers have been in the private sector, but the company’s business has shifted to nearly 75% public sector, and they needed to be better prepared to handle increased regulatory requirements. They also required greater capabilities around rate-based planning to support new cost models and strategies. Moreover, KBR was looking to grow via mergers and acquisitions, and they needed a modern platform that would quickly and easily incorporate new organization structures. Oracle was chosen over OneStream Software for multiple reasons, including greater experience in the aerospace and defense industry, leadership in the EPM space, and expertise in the energy and government contracting industry.",,Customer highlights from Q1 FY21 earnings
OHI,"Omega Healthcare of India, a leading healthcare outsourcing provider, is planning for considerable growth with significant outside investments. Their legacy ERP and HCM systems are not scalable or capable enough to support this expected growth. Having one Oracle Cloud platform will provide Omega with the insights needed as well as the transparency and compliance required by their top tier investor. Omega Healthcare selected Oracle over SAP.",,Customer highlights from Q1 FY21 earnings
